title,role,date,authors,price,downloads,revenue
"Quick Take: Facebook's f8 Announcements Mark A Sea Change In User Privacy","Customer Insights",389644.7380940914,"[ ""Fatemeh Khatibloo"", ""Eve Maler"", ""Srividya Sridharan"", ""Jennifer Wise"", ""Peter Sheldon"", ""Nate Elliott"" ]","195","15",2925.0
"Why Every Online Retailer Should ""Ship-From-Store""","eBusiness & Channel Strategy",476045.5040049553,"[ ""Peter Sheldon"", ""Adam Silverman"", ""George Lawrie"", ""Zia Daniell Wigder"", ""Sucharita Mulpuru"" ]","499","113",56387.0
"Brick And Mortar Retail Fights Back","Application Development & Delivery",476046.4244410992,"[ ""George Lawrie"", ""Peter Sheldon"", ""Adam Silverman"", ""Holger Kisker, Ph.D."" ]","499","65",32435.0
"Quick Take: Tibco Continues Build-Out Of Its BI Portfolio By Acquiring Jaspersoft","Application Development & Delivery",476046.9343929291,"[ ""Martha Bennett"", ""Holger Kisker, Ph.D."", ""Boris Evelson"" ]","199","32",6368.0
"Case Study: Leveraging Managed Services To Bring Agility To The Business","Sourcing & Vendor Management",562447.4784700871,"[ ""Frederic Giron"", ""Dane Anderson"" ]","499","49",24451.0
"Forrester's 2013 Data Privacy Heat Map","Security & Risk",562448.0718069077,"[ ""Chris Sherman"", ""Eve Maler"", ""Stephanie Balaouras"", ""Kelley Mak"" ]","499","978",488022.0
"Seven Advanced Analytics Must-Knows","Customer Insights",562448.8687000275,"[ ""Srividya Sridharan"", ""Mike Gualtieri"", ""Carlton A. Doty"", ""Holger Kisker, Ph.D."" ]","499","210",104790.0
"Address The Top 10 Nontechnical Security Issues In Mobile App Development","Security & Risk",562449.6160640717,"[ ""Tyler Shields"", ""Stephanie Balaouras"", ""Michael Facemire"" ]","499","99",49401.0
"Case Study: Driving Toward Communications Sourcing Excellence","Sourcing & Vendor Management",562451.2165648937,"[ ""Clement Teo"", ""Frederic Giron"", ""Michael Barnes"" ]","499","20",9980.0
"Asian Banks Are Adopting Cloud Faster Than You Think","Application Development & Delivery",562451.8331339359,"[ ""Michael Barnes"", ""Dane Anderson"" ]","499","64",31936.0
"Assess Your Customers' Personal Identity And Data Management Attributes","Customer Insights",648852.3546950817,"[ ""Fatemeh Khatibloo"", ""Carlton A. Doty"", ""Elizabeth Komar"" ]","499","74",36926.0
"Key I&O Technology Trends To Watch In 2014, Part 1","Infrastructure & Operations",648853.7436230183,"[ ""Sudhanshu Bhandari"", ""Michael Barnes"", ""Jean-Pierre Garbani"" ]","499","95",47405.0
"Quick Take: Huawei Announces Strong Growth And ""Huawei Inside"" Smart Cities","CIO",648854.1078090668,"[ ""Jennifer Belissent, Ph.D."", ""Pascal Matzke"" ]","199","17",3383.0
"Brief: HP Gets Back On The Path To Partnership With Customers","CIO",648854.6566770077,"[ ""Peter Burris"", ""Andrew Smith"", ""Frank E. Gillett"" ]","499","64",31936.0
"The Forrester Wave™: Sell-Side Platforms And Exchanges For Publishers, Q2 2014","Marketing Leadership",648855.2124249935,"[ ""Susan Bidel"", ""Luca S. Paderni"" ]","2495","82",204590.0
"Use Instagram Now","Marketing Leadership",648855.9232599735,"[ ""Nate Elliott"", ""Melissa Parrish"" ]","499","127",63373.0
"European Cross-Channel Retail Sales Forecast, 2013 To 2018","eBusiness & Channel Strategy",735256.6536290646,"[ ""Michelle Beeson"", ""Patti Freeman Evans"", ""Martin Gill"", ""Michael O'Grady"" ]","499","90",44910.0
"How To Create A Social Depth Strategy","Marketing Leadership",735258.3896579742,"[ ""Kim Celestre"", ""Melissa Parrish"", ""Nate Elliott"", ""Andy Hoar"" ]","499","115",57385.0
"Architect For Extreme Uncertainty","Enterprise Architecture",735259.0980129242,"[ ""Clay Richardson"", ""Brian Hopkins"", ""Alex Cullen"" ]","499","151",75349.0
"Choose The Right Technologies To Support Your GRC Program","Security & Risk",735259.803426981,"[ ""Renee Murphy"", ""Christopher McClean"", ""Nick Hayes"" ]","499","92",45908.0
"EA Isn't Meeting The Demand For New Technology","Enterprise Architecture",735260.534817934,"[ ""Brian Hopkins"", ""Gene Leganza"" ]","499","138",68862.0
"Forrester Research Online Retail Forecast, 2013 To 2018 (Western Europe)","eBusiness & Channel Strategy",735260.9152259827,"[ ""Michael O'Grady"" ]",,"2",
"Choose The Right Vendor Tools To Help With Content Marketing Development And Distribution","Marketing Leadership",735261.4776799679,"[ ""Tracy Stokes"", ""David M. Cooperstein"", ""Laura Ramos"", ""Ryan Skinner"" ]","499","126",62874.0
"Lessons In Leading The Digital Business Revolution","eBusiness & Channel Strategy",389662.1275529861,"[ ""Bill Doyle"", ""Carrie Johnson"" ]","499","160",79840.0
"Brief: Software Requirements Practices Are Ripe For Disruption","Application Development & Delivery",994462.9311909676,"[ ""Kurt Bittner"", ""Christopher Mines"" ]","499","164",81836.0
"Quick Take: FedRAMP Update Impacts Government Cloud Providers In June 2014","Security & Risk",1080863.526789904,"[ ""Renee Murphy"", ""Andrew Rose"", ""Christopher McClean"" ]","199","67",13333.0
"Quick Take: Top 10 Cloud Challenges Facing Media And Entertainment","CIO",1080864.1319561,"[ ""James Staten"", ""Christopher Voce"", ""James L. McQuivey, Ph.D."" ]","199","72",14328.0
"Case Study: Indiabulls Real Estate Uses A Tablet App To Drive Sales Growth","eBusiness & Channel Strategy",1080864.954009056,"[ ""Katyayan Gupta"", ""Manish Bahl"", ""Frederic Giron"", ""Julie A. Ask"" ]","499","31",15469.0
"CMOs Must Build An Affinity Channels Strategy To Reach New Audiences","Marketing Leadership",1080865.603099108,"[ ""Jim Nail"", ""David M. Cooperstein"" ]","499","97",48403.0
"The Public Cloud Market Is Now In Hypergrowth","CIO",1080866.291126966,"[ ""Andrew Bartels"", ""John R. Rymer"", ""James Staten"", ""Khalid Kark"" ]","499","258",128742.0
"US Tech Market Outlook For 2014 And 2015 — Solid, Steady Growth – A BT Futures Report","CIO",1080867.012990952,"[ ""Andrew Bartels"", ""Khalid Kark"" ]","499","154",76846.0
"Enforce A Just Culture To Fortify The Human Firewall","Security & Risk",1080867.584532976,"[ ""Andrew Rose"", ""Christopher McClean"", ""Nick Hayes"", ""Renee Murphy"" ]","499","63",31437.0
"Brief: Disney Leads The Charge Across The Digital-Physical Divide","Customer Experience",1080868.553122044,"[ ""Tony Costa"", ""John Dalton"" ]","499","136",67864.0
"Brief: Using Technology To Drive In-Store Customer Engagement","Infrastructure & Operations",1080871.237330914,"[ ""J. P. Gownder"", ""Christopher Voce"", ""Adam Silverman"" ]","499","94",46906.0
"Forrester Research World Online Population Forecast, 2014 To 2019 (Global)","Customer Insights",1080871.748142004,"[ ""Jeff Wray"" ]",,"1",
"Benchmark Your North American Social Marketing Efforts","Marketing Leadership",1167272.558161974,"[ ""Kim Celestre"", ""Melissa Parrish"", ""Xiaofeng Wang"" ]","499","142",70858.0
"Case Study: Zoetis Sponsors A Mobile App To Build Brand Awareness","Marketing Leadership",1167273.248361111,"[ ""Jennifer Wise"", ""Melissa Parrish"" ]","499","45",22455.0
"See Me, Serve Me: Video Chat For Customer Service Starts To Take Hold","Application Development & Delivery",1167274.301182032,"[ ""Philipp Karcher"", ""Art Schoeller"", ""Stephen Powers"", ""Kate Leggett"", ""Sucharita Mulpuru"" ]","499","126",62874.0
"Trends 2014: North American Digital Banking","eBusiness & Channel Strategy",1253674.855328083,"[ ""Peter Wannemacher"", ""Benjamin Ensor"", ""Stephen Walker"" ]","499","224",111776.0
"Trends 2014: North American Digital Insurance","eBusiness & Channel Strategy",1253675.579732895,"[ ""Ellen Carney"", ""Oliwia Berdak"", ""Benjamin Ensor"" ]","499","231",115269.0
"Trends 2014: European Digital Insurance","eBusiness & Channel Strategy",1253676.2941401,"[ ""Oliwia Berdak"", ""Ellen Carney"", ""Benjamin Ensor"" ]","499","107",53393.0
"TechRadar™: Data Security, Q2 2014","Security & Risk",1253676.830151081,"[ ""Stephanie Balaouras"", ""John Kindervag"", ""Heidi Shey"", ""Eve Maler"", ""Kelley Mak"" ]",,"201",
"Organize For Mobile Development Success","Application Development & Delivery",1253677.416863918,"[ ""Jeffrey S. Hammond"", ""Michael Facemire"", ""Christopher Mines"", ""Julie A. Ask"" ]","499","153",76347.0
"Use Sensors To Take Apps To The Next Level Of Customer Engagement","Application Development & Delivery",1253678.072614908,"[ ""Mike Gualtieri"", ""Rowan Curran"", ""Holger Kisker, Ph.D."", ""Diego Lo Giudice"" ]","499","132",65868.0
"Build Your Content Strategy With The Marketing RaDaR","Marketing Leadership",1253678.714803934,"[ ""Ryan Skinner"", ""Luca S. Paderni"", ""Nate Elliott"" ]","499","140",69860.0
"Market Overview: Managed Security Services, Europe, Q2 2014","Security & Risk",1253679.153167009,"[ ""Ed Ferrara"", ""Christopher McClean"", ""Rick Holland"" ]","2495","123",306885.0
"Quick Take: Zebra Strengthens Its Connected World Platform With Motorola Solutions","Infrastructure & Operations",1340079.5674119,"[ ""Michele Pelino"", ""Christopher Voce"" ]","199","28",5572.0
"Healthcare Providers: Avoid Disruption From ICD-10 Migration","CIO",1340080.107000113,"[ ""Skip Snow"", ""Alex Cullen"" ]","499","49",24451.0
"Case Study: State-Owned Enterprise In China Targets Improved Agility","Application Development & Delivery",1340080.717009068,"[ ""Gene Cao"", ""Frederic Giron"", ""Nigel Fenwick"", ""Boris Evelson"" ]","499","20",9980.0
"Digital Experience Platforms From Agencies And SIs: What's The Secret Sauce?","Application Development & Delivery",1340081.311625957,"[ ""Anjali Yakkundi"", ""Stephen Powers"" ]","499","116",57884.0
"Asia Pacific Tech Market Outlook For 2014 To 2015","CIO",1340082.009872913,"[ ""Andrew Bartels"", ""Frederic Giron"", ""Khalid Kark"" ]","499","119",59381.0
"Adaptive Intelligence: Assess Your Readiness","Customer Insights",1599282.556651115,"[ ""Fatemeh Khatibloo"", ""Carlton A. Doty"", ""James Staten"", ""Eve Maler"" ]","499","101",50399.0
"Top 15 Trends S&R Pros Should Watch: Q2 2014","Security & Risk",389683.1617050171,"[ ""Andras Cser"", ""Andrew Rose"", ""Chris Sherman"", ""Ed Ferrara"", ""Eve Maler"", ""Heidi Shey"", ""John Kindervag"", ""Nick Hayes"", ""Rick Holland"", ""Tyler Shields"", ""Stephanie Balaouras"", ""Laura Koetzle"", ""Christopher McClean"", ""Kelley Mak"" ]","499","179",89321.0
"The Things We Do For… Data","Enterprise Architecture",1599284.907114983,"[ ""Gene Leganza"", ""Leslie Owens"" ]","499","109",54391.0
"How To Manage APIs For Customer Engagement","Application Development & Delivery",1599285.546601057,"[ ""Randy Heffner"", ""Christopher Mines"", ""Eve Maler"" ]","499","143",71357.0
"Infrastructure Will Drive The Retail Store Experiences Of The Future","Infrastructure & Operations",1685686.355530024,"[ ""J. P. Gownder"", ""Michele Pelino"", ""Christopher Voce"", ""Doug Washburn"", ""Adam Silverman"" ]","499","162",80838.0
"Brief: Insights For S&R Pros From IBM's CIO Leadership Exchange","Security & Risk",1685687.026957035,"[ ""Stephanie Balaouras"", ""Eve Maler"", ""Brian Hopkins"", ""Ed Ferrara"" ]","499","61",30439.0
"Brief: The Home Depot's Age Of The Customer Transformation","CIO",1685687.571233988,"[ ""John C. McCarthy"", ""Pascal Matzke"" ]","499","119",59381.0
"CISOs Need To Add Customer Obsession To Their Job Description","Security & Risk",1685690.966283083,"[ ""Ed Ferrara"", ""Christopher McClean"", ""Stephanie Balaouras"" ]","499","62",30938.0
"Build Digital Workspace Delivery Systems To Give Employees The Right Tools For Their Job","Infrastructure & Operations",994491.6695020199,"[ ""David K. Johnson"", ""Christopher Voce"", ""Michele Pelino"", ""Christian Kane"" ]","499","130",64870.0
"Trends 2014: Indian CMOs' Technology Spending Plans","CIO",1772092.306827068,"[ ""Manish Bahl"", ""Frederic Giron"" ]","499","36",17964.0
"Five Steps To Create And Sustain A Customer-Centric Culture","Customer Experience",1772092.894623041,"[ ""Samuel Stern"", ""Paul Hagen"", ""Harley Manning"" ]","499","237",118263.0
"Understand The Digital Business Landscape","eBusiness & Channel Strategy",1772093.500840902,"[ ""Martin Gill"", ""Aurelie L'Hostis"", ""Zia Daniell Wigder"", ""Patti Freeman Evans"" ]","499","279",139221.0
"Analyze This: Web Style Analytics Enters The Retail Store","eBusiness & Channel Strategy",1772094.131798029,"[ ""Adam Silverman"", ""Tony Costa"", ""Carrie Johnson"", ""Martin Gill"", ""Brendan Witcher"", ""Lily Varon"" ]","499","186",92814.0
"Buyer Role Profile: Network Manager","Sales Enablement",1772095.121972084,"[ ""Norbert Kriebel"", ""Scott Santucci"", ""Carrie Johnson"" ]","499","35",17465.0
"Beyond Marketing: How Mobile Is Transforming McDonald's France","Marketing Leadership",1772095.980586052,"[ ""Thomas Husson"", ""Melissa Parrish"" ]","499","102",50898.0
"TechRadar™: Customer-Centric HRM Technology, Q2 2014","Application Development & Delivery",1858496.57269311,"[ ""Paul D. Hamerman"", ""Claire Schooley"", ""Holger Kisker, Ph.D."" ]",,"101",
"The Eight Tenets Of Faster Application Delivery","Application Development & Delivery",1858497.195110083,"[ ""Kurt Bittner"", ""Glenn O'Donnell"", ""Christopher Mines"" ]","499","222",110778.0
"Big Data In Banking: It's Time To Act","Application Development & Delivery",1858497.871874094,"[ ""Jost Hoppermann"", ""Martha Bennett"", ""Holger Kisker, Ph.D."", ""Brian Hopkins"" ]","499","232",115768.0
"Responsive Web Mockup And Prototyping Tools Can Help Repair The Design-Development Rift","Application Development & Delivery",1858498.570900917,"[ ""Mark Grannan"", ""Stephen Powers"", ""Michael Facemire"" ]","499","116",57884.0
"Brief: SharePoint Innovations Aimed At Employees, Not Customers","Application Development & Delivery",1858499.181114912,"[ ""Rob Koplowitz"", ""John R. Rymer"", ""Christopher Mines"" ]","499","126",62874.0
"Growth And Insight Drive Application Adoption Trends","Application Development & Delivery",1858500.861913919,"[ ""Paul D. Hamerman"", ""Holger Kisker, Ph.D."", ""Sharyn Leaver"" ]","499","76",37924.0
"Mobile Advertising: It's Time To Get Personal","Marketing Leadership",1772101.519134998,"[ ""Jennifer Wise"", ""Melissa Parrish"", ""Susan Bidel"", ""Thomas Husson"" ]","499","188",93812.0
"Quick Take: IBM Acquires Silverpop","Customer Insights",1944902.004131079,"[ ""Lori Wizdo"", ""Cory Munchbach"", ""David Aponovich"", ""Mary Pilecki"" ]","195","72",14040.0
"Quick Take: What The Federal Framework For Health IT Means To Providers' Architecture","Enterprise Architecture",1944902.411391973,"[ ""Skip Snow"", ""Alex Cullen"" ]","199","56",11144.0
"Mobile Is The Real Driver For US Social Media Growth","Marketing Leadership",1944902.82881093,"[ ""Jitender Miglani"" ]",,"13",
"Adopt The Customer Life Cycle To Win In The Age Of The Customer","CMO",1944903.311219931,"[ ""Cory Munchbach"", ""David M. Cooperstein"" ]",,"536",
"Brief: The Future Of Voice Control Goes Far Beyond Dictation","CMO",1772103.847476006,"[ ""James L. McQuivey, Ph.D."", ""David M. Cooperstein"" ]","499","86",42914.0
"B2B Marketing's Big Data Destiny","CMO",1944904.56863904,"[ ""Laura Ramos"", ""David M. Cooperstein"" ]","499","167",83333.0
"The Power Of Customer Context","Customer Insights",1944905.381438017,"[ ""Carlton A. Doty"", ""Josh Bernoff"", ""Srividya Sridharan"" ]","499","310",154690.0
"The Customer Life Cycle: A Blueprint For Customer-Obsessed Enterprises","CMO",1944906.211623907,"[ ""Cory Munchbach"", ""David M. Cooperstein"" ]","499","962",480038.0
"Create Marketing Your Customers Can Use","Marketing Leadership",1772107.066234112,"[ ""Melissa Parrish"", ""Luca S. Paderni"", ""David M. Cooperstein"", ""Carlton A. Doty"" ]","499","180",89820.0
"2014 Technology Imperatives For US Healthcare Insurers","CIO",2204107.745588064,"[ ""Skip Snow"", ""Alex Cullen"" ]","499","141",70359.0
"Quick Take: Stem The ""Heartbleed""","Security & Risk",2204109.488877058,"[ ""John Kindervag"", ""Tyler Shields"", ""Andras Cser"", ""Andrew Rose"", ""Ed Ferrara"", ""Rick Holland"", ""Stephanie Balaouras"" ]","199","329",65471.0
"Optimize Long-Term Application Effectiveness And Value","Application Development & Delivery",2204110.10114789,"[ ""George Lawrie"", ""Holger Kisker, Ph.D."" ]","499","89",44411.0
"Forrester's Business Application Benchmark Self-Assessment Tool","Application Development & Delivery",2204110.784104109,"[ ""George Lawrie"", ""Holger Kisker, Ph.D."" ]","499","11",5489.0
"Buyer Role Profile: Application Manager","Sales Enablement",2204111.402714014,"[ ""Norbert Kriebel"", ""Scott Santucci"" ]","499","38",18962.0
"Developing Modern Applications With Agile Outsourcing: Part One","Application Development & Delivery",2290512.034446955,"[ ""Diego Lo Giudice"", ""Wolfgang Benkel"", ""Holger Kisker, Ph.D."", ""Chris Andrews"" ]","499","146",72854.0
"What You Need To Know About WebRTC","Application Development & Delivery",2290512.858890057,"[ ""Art Schoeller"", ""Stephen Powers"" ]","499","92",45908.0
"Quick Take: Adobe Advances Mission Of Support For Digital Experiences","Application Development & Delivery",2376913.372302055,"[ ""David Aponovich"", ""Stephen Powers"", ""Anjali Yakkundi"" ]","199","86",17114.0
"Find The Sweet Spot For Your Bring-Your-Own-Device Program","Infrastructure & Operations",2376914.278038025,"[ ""Michele Pelino"", ""Christopher Voce"", ""Christian Kane"" ]","499","128",63872.0
"Brief: Samsung Knox 2.0 Chases The Secure Mobile Market","Sourcing & Vendor Management",2376914.991009951,"[ ""Henning Dransfeld"", ""Christian Kane"", ""Ted Schadler"", ""Chris Andrews"" ]","2495","53",132235.0
"Quick Take: Adobe Accelerates Its Mobile Engagement Efforts","Application Development & Delivery",2376915.984275103,"[ ""Jeffrey S. Hammond"", ""Michael Facemire"", ""David Aponovich"", ""Anjali Yakkundi"", ""Stephen Powers"", ""Julie A. Ask"" ]","199","77",15323.0
"Let The Adjacent Possible Guide Your Information Strategy","Enterprise Architecture",2376916.765028954,"[ ""Gene Leganza"", ""Leslie Owens"" ]","499","749",373751.0
"Quick Take: Google Makes Glass Visible To The Enterprise","Infrastructure & Operations",2376917.258503914,"[ ""J. P. Gownder"", ""Christopher Voce"" ]","199","56",11144.0
"Building The Foundation For Customer Insight: Hadoop Infrastructure Architecture","Infrastructure & Operations",2376918.118678093,"[ ""Richard Fichera"", ""Laura Koetzle"", ""Brian Hopkins"" ]","499","232",115768.0
"Big Data Quality: Garbage In, Gold Out","Enterprise Architecture",1772118.75404501,"[ ""Michele Goetz"", ""Leslie Owens"" ]","499","176",87824.0
"European Retail Segmentation: Emerging Patterns Of Multitouchpoint Shopping","eBusiness & Channel Strategy",2463319.325074911,"[ ""Michelle Beeson"", ""Martin Gill"", ""Patti Freeman Evans"" ]","499","148",73852.0
"Four Reasons For Sluggish Tech Market Growth And The Rationale For Future Optimism – A BT Futures Report","CIO",2463320.028110981,"[ ""Andrew Bartels"", ""Khalid Kark"" ]","499","89",44411.0
"The Forrester Wave™: Retail Planning Solutions, Q2 2014","Application Development & Delivery",2463320.629029036,"[ ""George Lawrie"", ""Holger Kisker, Ph.D."" ]","2495","145",361775.0
"Navigate The Future Of Identity And Access Management","Security & Risk",2549721.256421089,"[ ""Eve Maler"", ""Stephanie Balaouras"", ""Andras Cser"", ""John Kindervag"" ]","499","1933",964567.0
"Listening Platforms Satisfy Users For Now","Customer Insights",2549721.868072987,"[ ""Allison Smith"", ""Shar VanBoskirk"" ]","499","112",55888.0
"The Forrester Wave™: Customer Service Solutions For Enterprise Organizations, Q2 2014","Application Development & Delivery",2549723.040973902,"[ ""Kate Leggett"", ""Stephen Powers"", ""Michael Facemire"" ]","2495","239",596305.0
"The Forrester Wave™: Customer Service Solutions For Small And Midsize Teams, Q2 2014","Application Development & Delivery",2549723.971374035,"[ ""Kate Leggett"", ""Stephen Powers"", ""Michael Facemire"" ]","2495","109",271955.0
"Quick Take: Adobe Underscores Marketing Reinvention At Adobe Summit 2014","Customer Insights",2463324.484635115,"[ ""Cory Munchbach"", ""Carlton A. Doty"", ""Shar VanBoskirk"", ""Laura Ramos"", ""David Aponovich"" ]","195","86",16770.0
"Interactive Channels To Watch In 2014","Marketing Leadership",2549725.077641964,"[ ""Shar VanBoskirk"" ]","499","182",90818.0
"Forrester Research Social Media Forecast, 2014 To 2019 (Asia Pacific)","Marketing Leadership",2808925.447237968,"[ ""Jitender Miglani"" ]",,"1",
"Forrester Research Social Media Forecast, 2014 To 2019 (US)","Marketing Leadership",2808926.075578928,"[ ""Jitender Miglani"" ]",,"4",
"The Best And Worst Of Mobile User Experience","Customer Experience",2808927.892868996,"[ ""Deanna Laufer"", ""John Dalton"" ]","499","452",225548.0
"Build Confidence In Strategic Decision-Making With Business Architecture","Enterprise Architecture",2808928.531996965,"[ ""Gordon Barnett"", ""Derek Miers"", ""Alex Cullen"" ]","499","241",120259.0
"US Mobile Commerce Trends, 2013","Marketing Leadership",2808928.950161934,"[ ""Reineke Reitsma"", ""Anjali Lai"", ""Vikram Sehgal"" ]",,"42",
"14 Digital Customer Experience Tools To Engage With Your Customers","Application Development & Delivery",2808929.761955976,"[ ""David Aponovich"", ""Stephen Powers"" ]","499","1332",664668.0
"Why Shoppers Buy At General Merchants","eBusiness & Channel Strategy",2808930.342336893,"[ ""Gina Fleming"", ""Sucharita Mulpuru"", ""Reineke Reitsma"" ]",,"18",
"Is Your Customer Insights Practice Ready For EU Privacy?","Customer Insights",2895331.020520926,"[ ""Fatemeh Khatibloo"", ""Chris Sherman"", ""Andrew Rose"", ""Carlton A. Doty"" ]","499","88",43912.0
"Decipher The Digital Intelligence Technology Code","Customer Insights",2895331.766735077,"[ ""James McCormick"", ""Carlton A. Doty"" ]","499","159",79341.0
"Brief: How Marketers Should Use The Weather","Marketing Leadership",2981733.707304001,"[ ""Anthony Mullen"", ""Melissa Parrish"" ]","499","123",61377.0
"Boost Your Software Negotiation Strategy With A Toolkit Of Models, Checklists, And Documents","Sourcing & Vendor Management",2981734.502909899,"[ ""Duncan Jones"", ""Liz Herbert"", ""Chris Andrews"" ]","499","186",92814.0
"The State Of Digital Experience Delivery, 2014","Application Development & Delivery",3068135.298965931,"[ ""Anjali Yakkundi"", ""Mark Grannan"", ""Stephen Powers"", ""Harley Manning"" ]","499","242",120758.0
"The Age Of The Customer Redefines Technology Management Archetypes","CIO",3068136.577442884,"[ ""Bobby Cameron"", ""Khalid Kark"", ""Peter Burris"" ]","499","218",108782.0
"The Enterprise Architecture Practice In China In 2014","Enterprise Architecture",3068137.376734018,"[ ""Charlie Dai"", ""Alex Cullen"", ""Michael Barnes"" ]","499","67",33433.0
"What You Need To Know About Mobile Payments In China","eBusiness & Channel Strategy",3068138.199853897,"[ ""Denee Carrington"", ""Bryan Wang"", ""Kelland Willis"", ""Zia Daniell Wigder"", ""Dane Anderson"", ""Lily Varon"" ]","499","131",65369.0
"Establish Common Values And Awareness Across A Common Dev And Ops Community","Infrastructure & Operations",3154540.352596045,"[ ""Glenn O'Donnell"", ""Kurt Bittner"", ""Eveline Oehrlich"" ]","499","125",62375.0
"Debunking Two Myths About Tech Budgets","CIO",3154541.086950064,"[ ""Andrew Bartels"", ""Khalid Kark"" ]","499","189",94311.0
"The Forrester Wave™: Software Product Development Services, Q1 2014","Sourcing & Vendor Management",3154541.777595043,"[ ""Charles Green"", ""John C. McCarthy"", ""Chris Andrews"" ]","2495","137",341815.0
"The Case For Google Plus","Marketing Leadership",3154542.572144032,"[ ""Nate Elliott"", ""Luca S. Paderni"" ]","499","200",99800.0
"Put Your Best Foot Forward: Key Techniques For Building An Integrated Strategic Plan","Enterprise Architecture",3154543.558927059,"[ ""Margo Visitacion"", ""Gordon Barnett"", ""Alex Cullen"" ]","499","186",92814.0
"Focus On People, Processes, And Technology To Achieve Mix Optimization Mastery","Marketing Leadership",3413744.442688942,"[ ""Jim Nail"", ""Luca S. Paderni"" ]","499","574",286426.0
"Increase Business Benefit With Integrated Strategic Planning And Execution","Enterprise Architecture",3413745.397269964,"[ ""Gordon Barnett"", ""Margo Visitacion"", ""Alex Cullen"" ]","499","159",79341.0
"The Global eCommerce Opportunity","eBusiness & Channel Strategy",3413746.239597082,"[ ""Zia Daniell Wigder"", ""Martin Gill"", ""Lily Varon"" ]","499","1335",666165.0
"Knowledge Work Pushes The Dynamic Case Management Market","Enterprise Architecture",3413746.970020056,"[ ""Craig Le Clair"", ""Derek Miers"", ""Alex Cullen"" ]","499","123",61377.0
"The Forrester Wave™: Dynamic Case Management, Q1 2014","Enterprise Architecture",3413747.670725107,"[ ""Craig Le Clair"", ""Derek Miers"", ""Alex Cullen"" ]","2495","191",476545.0
"The Evolution Of Global eCommerce Markets","eBusiness & Channel Strategy",3413748.56357193,"[ ""Zia Daniell Wigder"", ""Lily Varon"" ]","499","1701",848799.0
