title,role,date,authors,authorscore,price,downloads,revenue
"Quick Take: Huawei Announces Strong Growth And ""Huawei Inside"" Smart Cities",CIO,648854.1078090668,"[u'Jennifer Belissent, Ph.D.', u'Pascal Matzke']",1017670.4539877301,199,17,3383.0
Brief: HP Gets Back On The Path To Partnership With Customers,CIO,648854.6566770077,"[u'Peter Burris', u'Andrew Smith', u'Frank E. Gillett']",591088.1891891892,499,64,31936.0
"The Forrester Wave: Sell-Side Platforms And Exchanges For Publishers, Q2 2014",Marketing Leadership,648855.2124249935,"[u'Susan Bidel', u'Luca S. Paderni']",335066.5238095238,2495,82,204590.0
Use Instagram Now,Marketing Leadership,648855.9232599735,"[u'Nate Elliott', u'Melissa Parrish']",493198.837398374,499,127,63373.0
"European Cross-Channel Retail Sales Forecast, 2013 To 2018",eBusiness & Channel Strategy,735256.6536290646,"[u'Michelle Beeson', u'Patti Freeman Evans', u'Martin Gill', u""Michael O'Grady""]",544971.5518867924,499,90,44910.0
How To Create A Social Depth Strategy,Marketing Leadership,735258.3896579742,"[u'Kim Celestre', u'Melissa Parrish', u'Nate Elliott', u'Andy Hoar']",493198.837398374,499,115,57385.0
Architect For Extreme Uncertainty,Enterprise Architecture,735259.0980129242,"[u'Clay Richardson', u'Brian Hopkins', u'Alex Cullen']",730319.7878787878,499,151,75349.0
Choose The Right Technologies To Support Your GRC Program,Security & Risk,735259.803426981,"[u'Renee Murphy', u'Christopher McClean', u'Nick Hayes']",581768.0492957747,499,92,45908.0
EA Isn't Meeting The Demand For New Technology,Enterprise Architecture,735260.534817934,"[u'Brian Hopkins', u'Gene Leganza']",535101.093877551,499,138,68862.0
"Forrester Research Online Retail Forecast, 2013 To 2018 (Western Europe)",eBusiness & Channel Strategy,735260.9152259827,"[u""Michael O'Grady""]",69340.19354838709,,2,
Choose The Right Vendor Tools To Help With Content Marketing Development And Distribution,Marketing Leadership,735261.4776799679,"[u'Tracy Stokes', u'David M. Cooperstein', u'Laura Ramos', u'Ryan Skinner']",364747.8735632184,499,126,62874.0
Lessons In Leading The Digital Business Revolution,eBusiness & Channel Strategy,389662.12755298615,"[u'Bill Doyle', u'Carrie Johnson']",383516.32446808513,499,160,79840.0
Brief: Software Requirements Practices Are Ripe For Disruption,Application Development & Delivery,994462.9311909676,"[u'Kurt Bittner', u'Christopher Mines']",976051.8646288209,499,164,81836.0
Quick Take: FedRAMP Update Impacts Government Cloud Providers In June 2014,Security & Risk,1080863.5267899036,"[u'Renee Murphy', u'Andrew Rose', u'Christopher McClean']",581768.0492957747,199,67,13333.0
Quick Take: Top 10 Cloud Challenges Facing Media And Entertainment,CIO,1080864.1319561005,"[u'James Staten', u'Christopher Voce', u'James L. McQuivey, Ph.D.']",912649.6710526316,199,72,14328.0
Case Study: Indiabulls Real Estate Uses A Tablet App To Drive Sales Growth,eBusiness & Channel Strategy,1080864.954009056,"[u'Katyayan Gupta', u'Manish Bahl', u'Frederic Giron', u'Julie A. Ask']",506166.43356643355,499,31,15469.0
CMOs Must Build An Affinity Channels Strategy To Reach New Audiences,Marketing Leadership,1080865.6030991077,"[u'Jim Nail', u'David M. Cooperstein']",303961.14492753625,499,97,48403.0
The Public Cloud Market Is Now In Hypergrowth,CIO,1080866.2911269665,"[u'Andrew Bartels', u'John R. Rymer', u'James Staten', u'Khalid Kark']",1263582.44,499,258,128742.0
"US Tech Market Outlook For 2014 And 2015  Solid, Steady GrowthA BT Futures Report",CIO,1080867.0129909515,"[u'Andrew Bartels', u'Khalid Kark']",1263582.44,499,154,76846.0
Enforce A Just Culture To Fortify The Human Firewall,Security & Risk,1080867.5845329762,"[u'Andrew Rose', u'Christopher McClean', u'Nick Hayes', u'Renee Murphy']",581768.0492957747,499,63,31437.0
Brief: Disney Leads The Charge Across The Digital-Physical Divide,Customer Experience,1080868.5531220436,"[u'Tony Costa', u'John Dalton']",286525.4130434783,499,136,67864.0
Brief: Using Technology To Drive In-Store Customer Engagement,Infrastructure & Operations,1080871.2373309135,"[u'J. P. Gownder', u'Christopher Voce', u'Adam Silverman']",455656.125,499,94,46906.0
"Forrester Research World Online Population Forecast, 2014 To 2019 (Global)",Customer Insights,1080871.748142004,[u'Jeff Wray'],6896.428571428572,,1,
Benchmark Your North American Social Marketing Efforts,Marketing Leadership,1167272.558161974,"[u'Kim Celestre', u'Melissa Parrish', u'Xiaofeng Wang']",471123.72340425535,499,142,70858.0
Case Study: Zoetis Sponsors A Mobile App To Build Brand Awareness,Marketing Leadership,1167273.2483611107,"[u'Jennifer Wise', u'Melissa Parrish']",570909.9541984732,499,45,22455.0
"See Me, Serve Me: Video Chat For Customer Service Starts To Take Hold",Application Development & Delivery,1167274.3011820316,"[u'Philipp Karcher', u'Art Schoeller', u'Stephen Powers', u'Kate Leggett', u'Sucharita Mulpuru']",967928.0483870967,499,126,62874.0
Trends 2014: North American Digital Banking,eBusiness & Channel Strategy,1253674.855328083,"[u'Peter Wannemacher', u'Benjamin Ensor', u'Stephen Walker']",432286.46875,499,224,111776.0
Trends 2014: North American Digital Insurance,eBusiness & Channel Strategy,1253675.579732895,"[u'Ellen Carney', u'Oliwia Berdak', u'Benjamin Ensor']",432286.46875,499,231,115269.0
Trends 2014: European Digital Insurance,eBusiness & Channel Strategy,1253676.2941401005,"[u'Oliwia Berdak', u'Ellen Carney', u'Benjamin Ensor']",432286.46875,499,107,53393.0
"TechRadar: Data Security, Q2 2014",Security & Risk,1253676.830151081,"[u'Stephanie Balaouras', u'John Kindervag', u'Heidi Shey', u'Eve Maler', u'Kelley Mak']",964897.6338028169,,201,
Organize For Mobile Development Success,Application Development & Delivery,1253677.4168639183,"[u'Jeffrey S. Hammond', u'Michael Facemire', u'Christopher Mines', u'Julie A. Ask']",976051.8646288209,499,153,76347.0
Use Sensors To Take Apps To The Next Level Of Customer Engagement,Application Development & Delivery,1253678.0726149082,"[u'Mike Gualtieri', u'Rowan Curran', u'Holger Kisker, Ph.D.', u'Diego Lo Giudice']",1101950.1237113401,499,132,65868.0
Build Your Content Strategy With The Marketing RaDaR,Marketing Leadership,1253678.714803934,"[u'Ryan Skinner', u'Luca S. Paderni', u'Nate Elliott']",493198.837398374,499,140,69860.0
"Market Overview: Managed Security Services, Europe, Q2 2014",Security & Risk,1253679.1531670094,"[u'Ed Ferrara', u'Christopher McClean', u'Rick Holland']",581768.0492957747,2495,123,306885.0
Quick Take: Zebra Strengthens Its Connected World Platform With Motorola Solutions,Infrastructure & Operations,1340079.5674118996,"[u'Michele Pelino', u'Christopher Voce']",762713.256097561,199,28,5572.0
Healthcare Providers: Avoid Disruption From ICD-10 Migration,CIO,1340080.1070001125,"[u'Skip Snow', u'Alex Cullen']",526304.5814977974,499,49,24451.0
Case Study: State-Owned Enterprise In China Targets Improved Agility,Application Development & Delivery,1340080.7170090675,"[u'Gene Cao', u'Frederic Giron', u'Nigel Fenwick', u'Boris Evelson']",1300291.125,499,20,9980.0
Digital Experience Platforms From Agencies And SIs: What's The Secret Sauce?,Application Development & Delivery,1340081.3116259575,"[u'Anjali Yakkundi', u'Stephen Powers']",967928.0483870967,499,116,57884.0
Asia Pacific Tech Market Outlook For 2014 To 2015,CIO,1340082.0098729134,"[u'Andrew Bartels', u'Frederic Giron', u'Khalid Kark']",1263582.44,499,119,59381.0
Adaptive Intelligence: Assess Your Readiness,Customer Insights,1599282.5566511154,"[u'Fatemeh Khatibloo', u'Carlton A. Doty', u'James Staten', u'Eve Maler']",912649.6710526316,499,101,50399.0
Top 15 Trends S&R Pros Should Watch: Q2 2014,Security & Risk,389683.1617050171,"[u'Andras Cser', u'Andrew Rose', u'Chris Sherman', u'Ed Ferrara', u'Eve Maler', u'Heidi Shey', u'John Kindervag', u'Nick Hayes', u'Rick Holland', u'Tyler Shields', u'Stephanie Balaouras', u'Laura Koetzle', u'Christopher McClean', u'Kelley Mak']",964897.6338028169,499,179,89321.0
The Things We Do For Data,Enterprise Architecture,1599284.9071149826,"[u'Gene Leganza', u'Leslie Owens']",535101.093877551,499,109,54391.0
How To Manage APIs For Customer Engagement,Application Development & Delivery,1599285.546601057,"[u'Randy Heffner', u'Christopher Mines', u'Eve Maler']",976051.8646288209,499,143,71357.0
Infrastructure Will Drive The Retail Store Experiences Of The Future,Infrastructure & Operations,1685686.3555300236,"[u'J. P. Gownder', u'Michele Pelino', u'Christopher Voce', u'Doug Washburn', u'Adam Silverman']",762713.256097561,499,162,80838.0
Brief: Insights For S&R Pros From IBM's CIO Leadership Exchange,Security & Risk,1685687.026957035,"[u'Stephanie Balaouras', u'Eve Maler', u'Brian Hopkins', u'Ed Ferrara']",634238.0085714286,499,61,30439.0
Brief: The Home Depot's Age Of The Customer Transformation,CIO,1685687.5712339878,"[u'John C. McCarthy', u'Pascal Matzke']",1017670.4539877301,499,119,59381.0
CISOs Need To Add Customer Obsession To Their Job Description,Security & Risk,1685690.966283083,"[u'Ed Ferrara', u'Christopher McClean', u'Stephanie Balaouras']",634238.0085714286,499,62,30938.0
Build Digital Workspace Delivery Systems To Give Employees The Right Tools For Their Job,Infrastructure & Operations,994491.6695020199,"[u'David K. Johnson', u'Christopher Voce', u'Michele Pelino', u'Christian Kane']",762713.256097561,499,130,64870.0
Trends 2014: Indian CMOs' Technology Spending Plans,CIO,1772092.3068270683,"[u'Manish Bahl', u'Frederic Giron']",271787.8,499,36,17964.0
Five Steps To Create And Sustain A Customer-Centric Culture,Customer Experience,1772092.8946230412,"[u'Samuel Stern', u'Paul Hagen', u'Harley Manning']",580356.976744186,499,237,118263.0
Understand The Digital Business Landscape,eBusiness & Channel Strategy,1772093.5008409023,"[u'Martin Gill', u""Aurelie L'Hostis"", u'Zia Daniell Wigder', u'Patti Freeman Evans']",544971.5518867924,499,279,139221.0
Analyze This: Web Style Analytics Enters The Retail Store,eBusiness & Channel Strategy,1772094.131798029,"[u'Adam Silverman', u'Tony Costa', u'Carrie Johnson', u'Martin Gill', u'Brendan Witcher', u'Lily Varon']",540089.0857142857,499,186,92814.0
Buyer Role Profile: Network Manager,Sales Enablement,1772095.121972084,"[u'Norbert Kriebel', u'Scott Santucci', u'Carrie Johnson']",383516.32446808513,499,35,17465.0
Beyond Marketing: How Mobile Is Transforming McDonald's France,Marketing Leadership,1772095.980586052,"[u'Thomas Husson', u'Melissa Parrish']",535409.052173913,499,102,50898.0
"TechRadar: Customer-Centric HRM Technology, Q2 2014",Application Development & Delivery,1858496.5726931095,"[u'Paul D. Hamerman', u'Claire Schooley', u'Holger Kisker, Ph.D.']",1101950.1237113401,,101,
The Eight Tenets Of Faster Application Delivery,Application Development & Delivery,1858497.1951100826,"[u'Kurt Bittner', u""Glenn O'Donnell"", u'Christopher Mines']",976051.8646288209,499,222,110778.0
Big Data In Banking: It's Time To Act,Application Development & Delivery,1858497.871874094,"[u'Jost Hoppermann', u'Martha Bennett', u'Holger Kisker, Ph.D.', u'Brian Hopkins']",1101950.1237113401,499,232,115768.0
Responsive Web Mockup And Prototyping Tools Can Help Repair The Design-Development Rift,Application Development & Delivery,1858498.570900917,"[u'Mark Grannan', u'Stephen Powers', u'Michael Facemire']",967928.0483870967,499,116,57884.0
"Brief: SharePoint Innovations Aimed At Employees, Not Customers",Application Development & Delivery,1858499.181114912,"[u'Rob Koplowitz', u'John R. Rymer', u'Christopher Mines']",976423.7570093458,499,126,62874.0
Quick Take: IBM Acquires Silverpop,Customer Insights,1944902.0041310787,"[u'Lori Wizdo', u'Cory Munchbach', u'David Aponovich', u'Mary Pilecki']",559895.7619047619,195,72,14040.0
Forrester's CRM Risk Evaluation Self-Assessment Tool,Application Development & Delivery,21644754.227592945,[u'Stephen Powers'],967928.0483870967,499,48,23952.0
Forrester Web Site Review Scorecard,Customer Experience,222360910.6624601,[u'Harley Manning'],435214.775862069,499,7,3493.0
Growth And Insight Drive Application Adoption Trends,Application Development & Delivery,1858500.8619139194,"[u'Paul D. Hamerman', u'Holger Kisker, Ph.D.', u'Sharyn Leaver']",1101950.1237113401,499,76,37924.0
Mobile Advertising: It's Time To Get Personal,Marketing Leadership,1772101.5191349983,"[u'Jennifer Wise', u'Melissa Parrish', u'Susan Bidel', u'Thomas Husson']",570909.9541984732,499,188,93812.0
Quick Take: What The Federal Framework For Health IT Means To Providers' Architecture,Enterprise Architecture,1944902.4113919735,"[u'Skip Snow', u'Alex Cullen']",526304.5814977974,199,56,11144.0
Mobile Is The Real Driver For US Social Media Growth,Marketing Leadership,1944902.8288109303,[u'Jitender Miglani'],23421.8125,,13,
Adopt The Customer Life Cycle To Win In The Age Of The Customer,CMO,1944903.3112199306,"[u'Cory Munchbach', u'David M. Cooperstein']",321191.5714285714,,536,
Brief: The Future Of Voice Control Goes Far Beyond Dictation,CMO,1772103.8474760056,"[u'James L. McQuivey, Ph.D.', u'David M. Cooperstein']",425642.68695652176,499,86,42914.0
B2B Marketing's Big Data Destiny,CMO,1944904.56863904,"[u'Laura Ramos', u'David M. Cooperstein']",364747.8735632184,499,167,83333.0
The Power Of Customer Context,Customer Insights,1944905.381438017,"[u'Carlton A. Doty', u'Josh Bernoff', u'Srividya Sridharan']",610078.3982300885,499,310,154690.0
The Customer Life Cycle: A Blueprint For Customer-Obsessed Enterprises,CMO,1944906.211623907,"[u'Cory Munchbach', u'David M. Cooperstein']",321191.5714285714,499,962,480038.0
Create Marketing Your Customers Can Use,Marketing Leadership,1772107.0662341118,"[u'Melissa Parrish', u'Luca S. Paderni', u'David M. Cooperstein', u'Carlton A. Doty']",499922.75757575757,499,180,89820.0
2014 Technology Imperatives For US Healthcare Insurers,CIO,2204107.745588064,"[u'Skip Snow', u'Alex Cullen']",526304.5814977974,499,141,70359.0
"Quick Take: Stem The ""Heartbleed""",Security & Risk,2204109.488877058,"[u'John Kindervag', u'Tyler Shields', u'Andras Cser', u'Andrew Rose', u'Ed Ferrara', u'Rick Holland', u'Stephanie Balaouras']",901886.41,199,329,65471.0
Optimize Long-Term Application Effectiveness And Value,Application Development & Delivery,2204110.10114789,"[u'George Lawrie', u'Holger Kisker, Ph.D.']",1101950.1237113401,499,89,44411.0
Forrester's Business Application Benchmark Self-Assessment Tool,Application Development & Delivery,2204110.784104109,"[u'George Lawrie', u'Holger Kisker, Ph.D.']",1101950.1237113401,499,11,5489.0
Buyer Role Profile: Application Manager,Sales Enablement,2204111.402714014,"[u'Norbert Kriebel', u'Scott Santucci']",262163.5714285714,499,38,18962.0
Developing Modern Applications With Agile Outsourcing: Part One,Application Development & Delivery,2290512.0344469547,"[u'Diego Lo Giudice', u'Wolfgang Benkel', u'Holger Kisker, Ph.D.', u'Chris Andrews']",1101950.1237113401,499,146,72854.0
What You Need To Know About WebRTC,Application Development & Delivery,2290512.8588900566,"[u'Art Schoeller', u'Stephen Powers']",967928.0483870967,499,92,45908.0
Quick Take: Adobe Advances Mission Of Support For Digital Experiences,Application Development & Delivery,2376913.3723020554,"[u'David Aponovich', u'Stephen Powers', u'Anjali Yakkundi']",967928.0483870967,199,86,17114.0
Find The Sweet Spot For Your Bring-Your-Own-Device Program,Infrastructure & Operations,2376914.278038025,"[u'Michele Pelino', u'Christopher Voce', u'Christian Kane']",762713.256097561,499,128,63872.0
Brief: Samsung Knox 2.0 Chases The Secure Mobile Market,Sourcing & Vendor Management,2376914.9910099506,"[u'Henning Dransfeld', u'Christian Kane', u'Ted Schadler', u'Chris Andrews']",762666.4326923077,2495,53,132235.0
Quick Take: Adobe Accelerates Its Mobile Engagement Efforts,Application Development & Delivery,2376915.9842751026,"[u'Jeffrey S. Hammond', u'Michael Facemire', u'David Aponovich', u'Anjali Yakkundi', u'Stephen Powers', u'Julie A. Ask']",967928.0483870967,199,77,15323.0
Let The Adjacent Possible Guide Your Information Strategy,Enterprise Architecture,2376916.7650289536,"[u'Gene Leganza', u'Leslie Owens']",535101.093877551,499,749,373751.0
Quick Take: Google Makes Glass Visible To The Enterprise,Infrastructure & Operations,2376917.258503914,"[u'J. P. Gownder', u'Christopher Voce']",455656.125,199,56,11144.0
Building The Foundation For Customer Insight: Hadoop Infrastructure Architecture,Infrastructure & Operations,2376918.118678093,"[u'Richard Fichera', u'Laura Koetzle', u'Brian Hopkins']",478799.1034482759,499,232,115768.0
"Big Data Quality: Garbage In, Gold Out",Enterprise Architecture,1772118.7540450096,"[u'Michele Goetz', u'Leslie Owens']",485819.1967213115,499,176,87824.0
European Retail Segmentation: Emerging Patterns Of Multitouchpoint Shopping,eBusiness & Channel Strategy,2463319.325074911,"[u'Michelle Beeson', u'Martin Gill', u'Patti Freeman Evans']",544971.5518867924,499,148,73852.0
Four Reasons For Sluggish Tech Market Growth And The Rationale For Future OptimismA BT Futures Report,CIO,2463320.028110981,"[u'Andrew Bartels', u'Khalid Kark']",1263582.44,499,89,44411.0
"The Forrester Wave: Retail Planning Solutions, Q2 2014",Application Development & Delivery,2463320.6290290356,"[u'George Lawrie', u'Holger Kisker, Ph.D.']",1101950.1237113401,2495,145,361775.0
Navigate The Future Of Identity And Access Management,Security & Risk,2549721.256421089,"[u'Eve Maler', u'Stephanie Balaouras', u'Andras Cser', u'John Kindervag']",901886.41,499,1933,964567.0
Listening Platforms Satisfy Users For Now,Customer Insights,2549721.8680729866,"[u'Allison Smith', u'Shar VanBoskirk']",722552.1900452488,499,112,55888.0
"The Forrester Wave: Customer Service Solutions For Enterprise Organizations, Q2 2014",Application Development & Delivery,2549723.0409739017,"[u'Kate Leggett', u'Stephen Powers', u'Michael Facemire']",967928.0483870967,2495,239,596305.0
"The Forrester Wave: Customer Service Solutions For Small And Midsize Teams, Q2 2014",Application Development & Delivery,2549723.971374035,"[u'Kate Leggett', u'Stephen Powers', u'Michael Facemire']",967928.0483870967,2495,109,271955.0
Quick Take: Adobe Underscores Marketing Reinvention At Adobe Summit 2014,Customer Insights,2463324.4846351147,"[u'Cory Munchbach', u'Carlton A. Doty', u'Shar VanBoskirk', u'Laura Ramos', u'David Aponovich']",722552.1900452488,195,86,16770.0
Interactive Channels To Watch In 2014,Marketing Leadership,2549725.077641964,[u'Shar VanBoskirk'],722552.1900452488,499,182,90818.0
"Forrester Research Social Media Forecast, 2014 To 2019 (Asia Pacific)",Marketing Leadership,2808925.4472379684,[u'Jitender Miglani'],23421.8125,,1,
"Forrester Research Social Media Forecast, 2014 To 2019 (US)",Marketing Leadership,2808926.075578928,[u'Jitender Miglani'],23421.8125,,4,
The Best And Worst Of Mobile User Experience,Customer Experience,2808927.8928689957,"[u'Deanna Laufer', u'John Dalton']",286525.4130434783,499,452,225548.0
Build Confidence In Strategic Decision-Making With Business Architecture,Enterprise Architecture,2808928.5319969654,"[u'Gordon Barnett', u'Derek Miers', u'Alex Cullen']",598562.380952381,499,241,120259.0
"US Mobile Commerce Trends, 2013",Marketing Leadership,2808928.950161934,"[u'Reineke Reitsma', u'Anjali Lai', u'Vikram Sehgal']",264795.8024691358,,42,
14 Digital Customer Experience Tools To Engage With Your Customers,Application Development & Delivery,2808929.7619559765,"[u'David Aponovich', u'Stephen Powers']",967928.0483870967,499,1332,664668.0
Why Shoppers Buy At General Merchants,eBusiness & Channel Strategy,2808930.342336893,"[u'Gina Fleming', u'Sucharita Mulpuru', u'Reineke Reitsma']",519383.68613138684,,18,
Is Your Customer Insights Practice Ready For EU Privacy?,Customer Insights,2895331.0205209255,"[u'Fatemeh Khatibloo', u'Chris Sherman', u'Andrew Rose', u'Carlton A. Doty']",603137.8055555555,499,88,43912.0
Decipher The Digital Intelligence Technology Code,Customer Insights,2895331.766735077,"[u'James McCormick', u'Carlton A. Doty']",499922.75757575757,499,159,79341.0
Brief: How Marketers Should Use The Weather,Marketing Leadership,2981733.707304001,"[u'Anthony Mullen', u'Melissa Parrish']",471123.72340425535,499,123,61377.0
"Boost Your Software Negotiation Strategy With A Toolkit Of Models, Checklists, And Documents",Sourcing & Vendor Management,2981734.5029098988,"[u'Duncan Jones', u'Liz Herbert', u'Chris Andrews']",650577.5357142857,499,186,92814.0
"The State Of Digital Experience Delivery, 2014",Application Development & Delivery,3068135.298965931,"[u'Anjali Yakkundi', u'Mark Grannan', u'Stephen Powers', u'Harley Manning']",967928.0483870967,499,242,120758.0
The Age Of The Customer Redefines Technology Management Archetypes,CIO,3068136.5774428844,"[u'Bobby Cameron', u'Khalid Kark', u'Peter Burris']",601279.7472527473,499,218,108782.0
The Enterprise Architecture Practice In China In 2014,Enterprise Architecture,3068137.3767340183,"[u'Charlie Dai', u'Alex Cullen', u'Michael Barnes']",526304.5814977974,499,67,33433.0
What You Need To Know About Mobile Payments In China,eBusiness & Channel Strategy,3068138.199853897,"[u'Denee Carrington', u'Bryan Wang', u'Kelland Willis', u'Zia Daniell Wigder', u'Dane Anderson', u'Lily Varon']",540089.0857142857,499,131,65369.0
Establish Common Values And Awareness Across A Common Dev And Ops Community,Infrastructure & Operations,3154540.3525960445,"[u""Glenn O'Donnell"", u'Kurt Bittner', u'Eveline Oehrlich']",704811.5806451613,499,125,62375.0
Debunking Two Myths About Tech Budgets,CIO,3154541.0869500637,"[u'Andrew Bartels', u'Khalid Kark']",1263582.44,499,189,94311.0
"The Forrester Wave: Software Product Development Services, Q1 2014",Sourcing & Vendor Management,3154541.777595043,"[u'Charles Green', u'John C. McCarthy', u'Chris Andrews']",664884.9565217391,2495,137,341815.0
The Case For Google Plus,Marketing Leadership,3154542.5721440315,"[u'Nate Elliott', u'Luca S. Paderni']",493198.837398374,499,200,99800.0
